Designator,Footprint,Quantity,Value,LCSC Part #
AUDIO1,AUDIO-TH_PJ-3126-5A,1,I/Q Out,C145816
"C1, C2, C3, C4",C_0603,4,10nF,C1664
"C10, C109, C113, C117, C118, C34, C60, C67, C7, C75, C78, C9, C91, C96",C_0603,14,10uF,C96446
"C100, C102, C104, C108, C111, C112, C115, C32, C73, C76, C77, C79, C85, C86, C90, C93, C94, C98",C_0603,18,100pF,C14858
"C101, C103, C105, C107, C110, C114, C13, C19, C21, C33, C35, C37, C39, C41, C42, C44, C5, C53, C54, C55, C56, C57, C69, C70, C71, C74, C8, C83, C87, C88, C92, C95, C97, C99",C_0402,34,100nF,C1525
"C116, C72",CP_Elec_6.3x7.7,2,100uF 25V,C970685
"C12, C46, C47, C48",C_0805,4,100nF,C28233
"C14, C17",C_0402,2,33pF,C1562
"C15, C16, C18, C20, C22, C23, C24, C25",C_0402,8,4.7uF,C23733
"C36, C38, C40, C43, C45, C50, C52, C82, C84",C_0402,9,1uF,C52923
"C49, C6",C_0402,2,10pF,C32949
C51,C_0402,1,470pF,C1537
C58,C_0402,1,51pF,C541437
C59,C_0402,1,20pF,C327010
"C61, C65, C66",C_0402,3,91pF,C541440
C62,C_0402,1,39pF,C327068
C63,C_0402,1,68pF,C389103
C64,C_0402,1,82pF,C162123
C68,C_0402,1,10uF,C15525
"C80, C81, C89",C_0402,3,43pF 1%,C415393
"D1, D5",D_0603,2,Red,C2286
"D10, D11, D12, D9",D_SOD-123FL,4,1N4004W,C18199087
D13,D_0805,1,Green,C2297
D2,D_DO-214AC(SMA),1,SMAJ58A,C19077554
"D3, D4",SOIC245P670X290-4N,2,MB10S,
D6,D_0603,1,White,C2290
D7,D_0603,1,Yellow,C89811
FB1,FB_0805,1,~,C1017
"FB2, FB4",FB_0805,2,~,C1015
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3uH,
L10,L_0805,1,160nH,C19633930
L11,L_0805,1,300nH,C320430
L12,L_0805,1,"2.2uH,50mA",C1043
L2,L_1206,1,"4.7uH,25mA",C1049
L3,1210,1,27nH,C18221342
L4,IND-SMD_L2.2-W1.6,1,33nH,C330893
L5,1008,1,68nH,C6808066
L6,IND-SMD_L2.4-W1.7,1,16nH,C251941
L7,L_APV_AHW2520,1,22nH,C7427075
L8,L_0603,1,36nH,C346311
L9,IND-SMD_L2.2-W1.6,1,18nH,C330890
"R1, R4",R_0402,2,5.1kΩ,C25905
"R10, R16, R17, R20, R22, R25, R27, R28, R32, R33, R35, R46, R6",R_0402,13,10kΩ,C25744
"R11, R12, R19",R_0402,3,330Ω,C25104
R13,R_0402,1,33Ω,C25105
"R14, R15",R_0402,2,47Ω,C25118
R18,R_0402,1,12kΩ,C25752
"R2, R5, R7",R_0402,3,1kΩ,C11702
"R21, R41",R_0805,2,10kΩ,C17414
"R23, R24",R_0402,2,4.7kΩ,C25900
R26,R_0402,1,1.5kΩ,C25867
"R29, R40",R_0805,2,1.5kΩ,C4310
R3,R_0402,1,47kΩ,C25792
"R30, R31, R36, R39",R_0402,4,100Ω,C25076
"R34, R37, R38, R42",R_0805,4,33Ω,C17634
R43,R_0603,1,47 1%,C1002
"R8, R9",R_0603,2,27Ω,C25190
"RF1, RF2",BNC-TH_DOSIN-801-0051,2,3GHz,C521210
"S1, S2, S3, S4",SW_TS-1088-AR02016,4,"Tactile Button, 160gf",C720477
T1,XFMR_H1102NLT,1,H1102NLT,C20623173
T2,XFMR_MABA-007159-000000,1,MABA-007159-000000,C5125533
TP17,TestPoint_Pad_1.5x1.5mm,1,POE+,
TP18,TestPoint_Pad_1.5x1.5mm,1,POE-,
TP3,TestPoint_Pad_1.5x1.5mm,1,I LO,
TP4,TestPoint_Pad_1.5x1.5mm,1,Q LO,
TP5,TestPoint_Pad_1.5x1.5mm,1,SCL,
TP6,TestPoint_Pad_1.5x1.5mm,1,SDA,
TP8,TestPoint_Pad_1.5x1.5mm,1,GND,
U1,SN74CBT3253DBQ16,1,SN74CBT3253DBQR,C2674552
U10,MSOP-10_3x3mm_P0.5mm,1,MS5351M,C1509083
"U13, U14, U15",SOT-363_SC-70-6,3,LM66100DCK,C2832141
U16,PSA4-5043_,1,PSA4-5043_,C5240848
"U17, U18, U19",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,3,~,C10426
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA1612AxD,C94590
U20,TDFN-8_L3.0-W3.0-P0.65-BL-EP2.3,1,~,C22392180
U21,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,~,C237000
"U24, U25, U26, U27",SOT-223-3_TabPin2,4,AP7361C-33E,C500795
U4,TSSOP-16_4.4x5mm_P0.65mm,1,CJC5340,C7431487
U5,ADE12,1,ADE-1+,C2942210
U6,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350A,C42411118
U7,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128,C97521
U9,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8720A,C17146
USB1,USB-C-SMD_TYPE-C16PIN_C668624,1,~,
X1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,YC24.576MUBCE2O,C52204801
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
